date,open,high,low,close,volume,turnover
20251010,46750,46750,45000,45850,366256,16770965050
20251013,43650,49500,43600,49200,498960,23340672950
20251014,51000,51000,44550,45700,837144,39424791775
20251015,46700,55400,45950,53800,1868573,96878179675
20251016,52300,53700,51900,53100,589379,31156248000
20251017,52000,52900,49500,49850,515747,26231655625
20251020,50600,51100,48750,49500,369558,18427287750
20251021,51000,51200,48050,48600,380196,18821070800
20251022,48300,48500,47150,48150,371090,17716750625
20251023,47200,48300,46700,47950,310398,14744046875
20251024,49650,49650,48050,48700,295849,14407969150
20251027,49900,51500,49000,50900,415800,20973583025
20251028,50100,50400,48800,49000,265235,13120589825
20251029,49900,50500,48650,50100,244031,12126006550
20251030,49600,52400,49050,51700,531443,27093485600
20251031,50800,50900,49250,50200,340000,16962683550
20251103,51000,54000,49850,52400,567430,29543898450
20251104,52200,52400,50000,50200,329441,16720791150
20251105,48800,49250,45100,47450,344847,16180267600
20251106,48700,48950,46500,48000,223582,10703505225
20251107,46000,47450,44950,45600,236763,10851493575
20251110,45700,48250,44350,47250,270720,12553156750
20251111,47850,48550,45850,46600,233009,10973345425
20251112,46650,47650,45350,47000,181345,8481379825
20251113,46600,47750,46250,47350,166141,7803179750
20251114,45450,45800,44100,44100,227179,10196243750
20251117,45100,46350,44400,46000,156453,7116202075
20251118,44950,46000,44000,44600,123139,5513520000
20251119,44150,44300,42350,43750,174378,7565532075
20251120,45200,45350,43700,43850,156571,6909976050
20251121,40950,41800,40500,40950,214496,8781836450
20251124,41700,42050,40650,41450,135552,5612560875
20251125,42800,43100,41950,42700,119776,5107754800
20251126,44300,44700,42700,44550,166759,7321263950
20251127,45000,45300,43600,43850,132848,5866670325
20251128,44250,44850,43350,44800,95053,4219544025
20251201,46150,46450,45300,45950,164657,7558923600
20251202,46000,46250,45200,45400,96639,4410488775
20251203,45900,46100,44900,45450,65285,2958444550
20251204,45300,45300,43350,44000,133596,5872182125
20251205,43650,44450,43450,44300,67718,2978732650
20251208,44500,44500,43400,44050,93406,4088174675
20251209,43600,44000,43100,43450,65331,2836178675
20251210,43450,43900,43000,43000,89517,3876023225
20251211,43600,43800,42550,43350,124011,5354040150
20251212,43650,43950,42650,43850,266248,11582102135
20251215,42600,42600,42100,42250,109056,4613932650
20251216,42100,42200,40800,41100,132859,5481860425
20251217,41300,45000,41000,44800,257449,11239077125
20251218,43900,45450,42400,43000,248609,10873192225
20251219,43750,43850,42300,42700,103047,4418320300
20251222,43950,45650,43700,45650,209881,9447614975
20251223,46200,46200,44550,44950,147162,6656232500
20251224,45700,47650,45250,46450,305204,14291062400
20251226,47850,48450,46350,47150,288436,13734607650
20251229,49150,51700,48200,51100,654417,33138327775
20251230,49950,54700,49800,53200,875028,46713911100
20260102,53800,54500,52100,54100,531467,28459494350
20260105,56000,56600,52400,53800,525126,28198159700
20260106,53000,56300,52500,56200,505976,27792230350
20260107,55700,55700,51000,52300,620319,32587773300
20260108,53000,54450,51700,52100,311357,16448670450
20260109,51000,51600,50000,50100,341510,17242977600
20260112,50700,50800,48950,49450,263827,13129758950
20260113,49600,50800,49250,49450,255343,12719301650
20260114,49900,52600,49550,50500,295731,15035730200
20260115,49700,51200,49350,51100,170292,8590250475
20260116,52300,52300,50200,51300,271232,13876497200
20260119,50400,53800,50200,52400,408146,21407841700
20260120,53700,55100,52000,52700,400501,21260549100
20260121,50700,52700,50500,51600,281786,14524693150
20260122,53600,54800,52200,53900,442192,23680162550
20260123,54300,55700,52400,54500,446786,24203075550
20260126,55100,59500,54400,59300,729000,42032687050
20260127,58900,61300,58500,60900,516612,31074559400
20260128,63500,68800,61000,68700,861418,55828622650
20260129,70200,71800,63200,68400,859319,57324008950
20260130,68300,72800,67500,67800,653326,45438512250
20260202,64900,67000,62000,62500,478631,30798420100
20260203,65800,65900,62700,65100,321801,20669687400
20260204,64000,66000,63200,64500,235288,15196255750
20260205,62100,65300,60500,62000,283144,17805779800
20260206,59200,62700,58000,60800,226626,13661561250
20260209,64000,64700,63000,64400,217254,13916399850
20260210,64600,64800,61600,61800,150153,9387038250
20260211,61100,66400,60600,65300,330268,21237282450
20260212,65500,65800,62900,63300,273126,17516678850
20260213,62600,64200,62100,62700,167474,10570797700
20260219,64700,66100,63300,65500,265921,17292697500
20260220,64600,65500,63400,64000,165096,10584876950
20260223,66400,67900,63400,64500,277552,18338149200
20260224,64200,70500,63600,66600,407479,27550634100
20260225,69900,71300,67900,68200,356649,24555267650
20260226,69500,72800,67100,70400,441473,30891195150
20260227,67600,69900,67000,68000,286147,19532797250
20260303,66500,70000,63000,63200,328220,21859547950
20260304,60500,63100,54000,54300,391117,22481099900
20260305,59600,65000,58000,61700,330290,20531697150
20260306,63500,70000,62000,68600,425769,28407379950
20260309,63400,66100,61200,63100,296634,18783945400
20260310,66500,66500,60700,62600,355407,22443148600
20260311,63700,67500,61700,64300,278058,18036792950
20260312,62500,66800,62500,64600,235806,15309501000
20260313,64900,70800,64400,68600,466972,31692669400
20260316,67700,73600,67000,72800,619566,44078097500
20260317,82400,88900,77000,82700,1751060,146413704750
20260318,85700,89600,85600,87300,578130,50620051300
20260319,84700,94500,84200,91900,656638,59866826350
20260320,90800,106600,88800,102400,966006,96014129350
20260323,98500,117500,97600,103700,1014973,107796899700
20260324,110600,110800,101400,104200,541374,57089714750
20260325,106500,109500,101500,103400,463897,48362224500
20260326,99500,103400,97200,100000,342213,34405395250
20260327,96400,109500,96400,108300,657735,68678746700
20260330,103100,104300,97800,101300,316618,31752263650
20260331,96600,105600,95700,101300,462763,47009540350
20260401,107000,108000,100700,102900,390698,40505611500
20260402,103000,104200,94600,97200,453769,44381067700
20260403,98800,99100,92500,94700,369958,34940214500
20260406,95000,97800,91900,93200,222377,20839839500
20260407,98700,99000,89800,92200,360567,33640701850
20260408,97300,97500,89700,91000,807063,74169231000
20260409,90300,90400,85300,86200,444721,38654791950
20260410,87500,90400,85600,88200,350609,30857768150
20260413,84800,89300,84600,87700,242228,21203450600
20260414,90400,99500,89700,97800,691861,66763436750
20260415,101800,101900,95800,97000,397349,39337226500
20260416,97900,101700,95800,100500,457118,45264647400
20260417,100600,112800,99600,111800,684374,74063338400
20260420,109100,113200,108500,111800,329936,36578499950
20260421,113100,113500,106700,108000,252491,27416976500
20260422,108000,124900,105600,124900,861139,100583459200
20260423,127000,129100,121600,125700,472326,59320674650
20260424,121000,125400,115000,122400,517791,62615292100
20260427,122500,124700,116000,122500,347403,42138430350
20260428,122500,132600,119800,129800,493049,63222532900
20260429,129700,134600,121800,131900,418549,54154272300
20260430,132000,136200,128000,130700,324617,42801790400
20260504,132400,134800,128700,132100,313015,41175440500
20260506,139900,145400,132100,140000,396136,54407979950
20260507,140000,140100,131500,134500,216919,29236654300
20260508,133400,147000,131200,144900,368561,52645469250
20260511,145100,163000,141500,156600,388392,58700803400
20260512,157000,164500,118500,144800,562624,82480671850
20260513,140700,185000,139100,182000,814425,136867619400
20260514,175800,196900,172500,190100,588502,110945940950
20260515,189300,194500,172800,177800,421658,77639976800
20260518,175000,178800,161200,173400,308275,52484330950
20260519,176000,176000,161700,162400,218461,36360629350
20260520,165700,174800,156300,165600,357402,58991999850
20260521,170500,181500,168200,170500,383194,67108486850
20260522,172100,175700,165200,171600,407700,69696194950
20260526,180600,184500,167700,178700,517440,91464396650
