date,open,high,low,close,volume,turnover
20251010,19250,19330,18510,18510,294160,5530178680
20251013,18420,18690,18220,18600,113110,2093852825
20251014,18690,18970,18320,18320,189390,3526124195
20251015,18310,19510,18310,19340,491203,9456008650
20251016,19180,19300,18740,18940,325626,6180851110
20251017,18660,18930,18440,18450,272065,5068158310
20251020,18580,18640,18400,18510,217146,4018268145
20251021,18780,18900,18130,18380,328575,6049505245
20251022,18390,18600,18160,18590,146169,2694245020
20251023,18420,18560,18160,18180,171627,3144340635
20251024,18310,18350,17820,17840,263102,4718430625
20251027,17820,18240,17780,18200,265853,4786233055
20251028,18760,18960,18500,18680,383554,7154780115
20251029,18920,18920,18090,18140,327773,5985091880
20251030,18170,18300,17560,17730,287740,5125444465
20251031,17950,17950,17580,17680,202928,3582504145
20251103,17770,17830,17460,17560,179426,3154499900
20251104,17470,17920,17390,17840,254661,4522531190
20251105,17980,17990,17410,17580,284135,4992583625
20251106,17590,17760,17220,17600,152534,2674383895
20251107,17610,17610,17180,17410,238968,4147306465
20251110,17470,17700,17390,17700,121703,2141290565
20251111,17730,17920,17520,17640,150907,2671278980
20251112,17800,18110,17790,18040,266578,4801273900
20251113,18000,18430,17910,18040,270306,4921081190
20251114,17850,18490,17820,18000,294896,5380249020
20251117,18400,19500,18290,19300,832996,15925230595
20251118,19360,19460,18840,18930,339408,6457087620
20251119,18890,19060,18300,18550,268099,4991158985
20251120,18820,18900,18570,18610,201366,3763369320
20251121,18250,18500,18080,18250,226942,4136780085
20251124,18450,18520,17780,17900,192357,3472015290
20251125,18050,18150,17600,17850,180281,3215004835
20251126,17890,18410,17820,18240,131762,2399208455
20251127,18320,18320,17990,18020,112275,2031184605
20251128,18180,18940,18180,18720,308936,5772341680
20251201,18810,18890,18460,18550,132207,2468163310
20251202,18700,19200,18540,19190,321466,6075443605
20251203,19200,19200,18920,19160,165183,3153162085
20251204,19150,19200,18720,18900,144289,2732479825
20251205,18550,18870,18550,18750,115747,2163945785
20251208,18720,18860,18300,18750,148548,2773429440
20251209,18760,19140,18620,19030,199561,3787702625
20251210,19000,19010,18650,18860,123982,2329135125
20251211,18950,19100,18680,18920,266984,5047665350
20251212,18880,18880,18300,18530,314298,5828965464
20251215,18330,18350,18100,18230,202415,3681768710
20251216,18220,18450,18160,18320,191273,3492189980
20251217,18370,18780,18040,18200,325075,5931160575
20251218,17980,18090,17850,18060,118771,2135509590
20251219,18080,18100,17690,17880,194946,3487363395
20251222,18040,18070,17840,17950,125378,2248472250
20251223,18020,18060,17650,17750,137338,2437806315
20251224,17690,17760,17580,17690,106758,1884639830
20251226,17770,17780,17320,17420,172159,3004045715
20251229,17430,17460,17110,17380,138065,2385075285
20251230,17390,17390,17100,17150,184591,3171980725
20260102,17160,17250,17060,17080,159797,2735444380
20260105,17190,17340,17020,17340,183682,3153162165
20260106,17300,17350,17080,17140,147627,2535649040
20260107,17300,17720,17140,17350,261318,4524360855
20260108,17360,17460,17090,17130,175912,3021662135
20260109,17170,17170,16820,16840,249436,4223692010
20260112,16940,16950,16680,16910,214911,3616517675
20260113,16920,16970,16540,16620,242918,4049340015
20260114,16620,16680,16520,16570,146666,2429700400
20260115,16590,16640,16390,16580,168348,2773225955
20260116,16600,16700,16410,16530,177326,2925587475
20260119,16490,16520,16410,16420,120025,1973106440
20260120,16450,16760,16400,16660,191487,3191512945
20260121,16530,16700,16260,16600,274866,4507477435
20260122,16480,16740,16410,16590,254401,4213441740
20260123,16610,17080,16600,17080,328949,5541750965
20260126,17150,17690,17140,17690,487358,8538331085
20260127,17750,18240,17620,18000,417231,7503404520
20260128,18190,18470,18140,18440,506563,9294442860
20260129,18630,18900,17940,18780,538221,10005455090
20260130,18800,19200,18700,18790,551280,10480012095
20260202,18410,18620,17850,17900,287572,5227264475
20260203,18410,18440,17900,18170,290620,5254135075
20260204,18120,18330,18000,18320,184214,3349085020
20260205,18250,18510,18000,18030,321426,5854787775
20260206,17790,17790,17150,17450,243347,4230508265
20260209,17670,18000,17630,17980,193733,3453562430
20260210,18030,18650,17880,18490,281798,5165739710
20260211,18480,18690,18320,18340,140324,2588263205
20260212,18350,18390,18010,18150,172402,3129501835
20260213,18320,18340,18070,18100,172683,3133642000
20260219,18580,20900,18570,20800,1445237,28978382225
20260220,21200,21200,20200,20500,380474,7777228325
20260223,21000,21250,20150,20550,491454,10105974525
20260224,22450,22500,20850,22000,1145611,24748408225
20260225,22050,22100,21050,21200,479190,10187436350
20260226,21500,21500,20350,20450,377932,7820078150
20260227,20550,20750,19990,20400,310768,6310713675
20260303,19970,20550,19680,19680,370649,7423237810
20260304,19130,19390,17590,17620,546676,10075424905
20260305,18860,19350,18260,18700,382616,7238657135
20260306,18810,19980,18810,19840,529591,10415531605
20260309,18610,19130,18420,18860,230846,4313548330
20260310,19600,19680,19090,19270,296917,5756047925
20260311,19340,19490,18410,18510,394070,7465263990
20260312,18350,18780,18240,18460,298708,5522273065
20260313,18050,18460,17960,18400,216688,3958012560
20260316,18570,18600,17610,17710,384574,6898458620
20260317,18110,18330,17960,18140,292154,5319035125
20260318,18500,18500,18140,18310,225263,4118825460
20260319,18010,18090,17860,17900,196863,3537997555
20260320,18160,19140,18060,18760,390402,7334581975
20260323,18330,18390,17760,17880,188390,3410202665
20260324,18260,18280,17660,18100,152487,2742730405
20260325,18200,20400,18100,20000,754962,14773397865
20260326,19890,20800,19650,20550,647489,13267706865
20260327,20100,22350,20050,22300,1218306,26134112300
20260330,22850,23450,21850,23050,1158417,26543339900
20260331,23700,24650,23250,23600,1020839,24404160225
20260401,24350,30650,23850,29000,4387177,127719791675
20260402,28250,30200,27050,27850,1758762,49724285300
20260403,28550,28700,25900,27400,1050467,28256330325
20260406,28650,31250,28650,29900,1528852,45628840875
20260407,29800,30250,28100,28800,807790,23407812400
20260408,29250,29400,26450,27750,1346563,36960457125
