date,open,high,low,close,volume,turnover
20251010,146100,147500,143300,145500,246176,35604444250
20251013,140500,145300,138700,142100,199559,28374159700
20251014,140700,144700,138100,139000,260903,36694000650
20251015,139700,148500,139200,148300,430612,62929759000
20251016,153300,161000,153300,156300,391800,61425905600
20251017,154600,157700,151600,154100,279794,43240624000
20251020,156200,177000,155000,175700,777159,130215133800
20251021,180500,183200,171800,173300,508830,90112462550
20251022,171600,175900,165600,173900,457238,77927426350
20251023,169000,172000,166200,168200,315126,53228629900
20251024,172900,178600,170900,172000,347117,60489431200
20251027,177100,185000,173000,176500,539738,95905060000
20251028,173800,177800,171600,175000,322107,56071464850
20251029,177500,177900,171800,176700,307437,53809090950
20251030,181800,186300,176000,177600,450343,81541352750
20251031,179500,187400,177800,182300,452190,83018132550
20251103,182600,186900,180900,182100,357504,65543651150
20251104,180800,182100,171100,173100,359808,63171358600
20251105,172400,172400,162000,169000,370769,61955642550
20251106,175300,177200,166000,171000,331871,56690215950
20251107,170000,173000,161000,163000,289032,47593367500
20251110,167500,173500,167200,171600,350937,59804502950
20251111,174500,179000,167900,169800,323970,56000780650
20251112,178600,182000,170300,176500,658173,115596611900
20251113,177500,181700,173700,177000,378157,66947552800
20251114,172100,173800,168900,169700,305323,52184419450
20251117,170100,170200,164000,165200,373191,61753191900
20251118,163800,163800,154300,156000,439590,69247471450
20251119,158300,159200,152200,157200,246829,38585113500
20251120,160400,162000,157200,158400,208300,33210134600
20251121,153300,154200,150000,153100,221292,33751423950
20251124,154600,159100,151000,156200,375913,58489141957
20251125,160100,160300,153000,154600,170964,26764951700
20251126,157800,163400,155800,162700,249721,40106578700
20251127,162700,164800,161700,162900,132852,21691565400
20251128,164000,164000,159400,160400,172017,27666558800
20251201,161500,163500,158000,159300,159355,25410012500
20251202,160000,166800,158000,162700,180413,29444735300
20251203,163000,169300,162200,164500,186696,30949548250
20251204,165900,166000,161200,162300,201839,32927049300
20251205,161100,164200,160500,164000,154626,25161000800
20251208,164000,164900,161200,163200,124483,20263959400
20251209,162600,163200,161000,161700,198043,32018130400
20251210,162300,163000,159200,160600,165639,26567254250
20251211,162200,163300,157000,157000,407409,64519468500
20251212,159000,167800,158100,167400,462687,76582038750
20251215,164200,164200,159100,160000,236423,38082155400
20251216,160000,167500,158600,164000,627614,103640526350
20251217,164000,165800,155500,157600,328498,52203793500
20251218,156900,158500,154200,157000,171436,26847260400
20251219,158800,162700,156200,162700,318800,51212979800
20251222,163100,164100,158600,159500,206076,33025405150
20251223,160700,162800,159500,161100,162352,26180641800
20251224,161100,162700,159900,161200,117680,18982052050
20251226,161100,161600,158000,158200,150813,23936955850
20251229,155900,168800,155900,167900,299181,49214033850
20251230,165900,165900,161300,161700,146891,23878567650
20260102,161700,165500,157300,165000,229908,37195585450
20260105,164800,170600,163200,167700,260878,43505202850
20260106,168100,174800,166800,174800,351313,60584847850
20260107,173100,175500,169000,170400,230266,39441513150
20260108,169300,169900,165000,165700,277607,46307588550
20260109,167400,172300,166600,170500,233913,39644576334
20260112,172500,174700,167000,169000,197755,33564162250
20260113,171100,174300,168600,171400,220581,37776447250
20260114,171400,174600,169100,174300,236477,40668311400
20260115,173100,182600,173100,177000,329379,58578938850
20260116,179200,183600,177300,182700,300245,54436153150
20260119,183100,193200,180000,182800,305780,56068231350
20260120,181600,185900,178700,183000,215958,39353068850
20260121,180700,184500,178700,180700,257686,46788492300
20260122,185000,190600,182000,186600,319927,59922649550
20260123,190400,199200,188900,195800,495615,96604167600
20260126,195000,199100,192300,197300,283007,55561927850
20260127,199500,205500,194300,204500,283897,57234462950
20260128,207500,210000,200500,202500,274238,56043540500
20260129,203000,223000,201000,221500,347177,74131188250
20260130,216500,222000,213500,215500,366876,79703393165
20260202,211500,214500,198200,199800,315115,64211464750
20260203,210000,221000,205500,218500,296931,63697276000
20260204,215500,218000,208500,213000,321662,68556397500
20260205,210000,218500,208000,211500,195592,41517652500
20260206,203500,207000,197100,205500,252943,51223291900
20260209,215500,230000,213500,223500,292236,65040041750
20260210,231000,243000,224500,235500,322751,75963035500
20260211,237000,239500,223000,226500,377466,87753756250
20260212,237000,257000,236500,246500,729525,181261840500
20260213,251500,264500,244500,257500,529122,135586228250
20260219,278500,293000,275500,283500,534815,152162465000
20260220,291000,298000,279500,292500,520685,151502883750
20260223,298000,300500,274500,279000,487487,136463985250
20260224,273500,276000,258000,268000,529628,140961012500
20260225,273000,273000,262500,270000,362984,97565269750
20260226,265500,269000,261500,267000,331575,87693822000
20260227,263000,264500,255500,258500,553429,143060603250
20260303,249500,254000,239500,240500,354091,87364232500
20260304,230000,232000,202500,206500,599013,129177360500
20260305,227000,238000,223000,230500,482468,111506736250
20260306,222000,233500,221000,230000,232424,52997786750
