date,open,high,low,close,volume,turnover
20251010,103700,105300,102700,103900,161150,16684827500
20251013,102000,103700,101050,102400,103017,10535294400
20251014,102000,104000,101100,101500,113437,11613661050
20251015,101600,102500,101200,101500,117208,11915258950
20251016,102400,103400,101600,102800,139654,14283541650
20251017,101700,102700,100700,101000,181271,18416683500
20251020,101800,102800,101000,102500,109871,11235973350
20251021,105100,109500,104900,107100,348780,37411728350
20251022,107600,108700,106000,108200,141353,15180078550
20251023,107000,109300,106300,106300,145082,15606467550
20251024,106900,107000,104100,106500,134620,14246719350
20251027,108200,115300,107500,115200,474224,53512769500
20251028,116300,117700,114400,115900,233959,27104639650
20251029,117000,117000,113500,114600,244506,28043426100
20251030,117000,118400,111500,113400,212968,24285558050
20251031,114500,118900,114300,115500,297830,34715585650
20251103,114400,118800,113100,118700,299544,34896313600
20251104,120100,121600,117100,120300,360014,43136261600
20251105,123500,128900,119100,120600,1463045,180154108950
20251106,120200,121400,115400,119500,471742,55924687950
20251107,117400,119500,114000,116000,325733,37913602450
20251110,116100,120000,116000,119500,198269,23570718000
20251111,118800,120700,118100,119500,208948,24939578750
20251112,123000,128700,121800,127800,696545,87913001850
20251113,128700,130900,125900,128400,495381,63648459150
20251114,126000,130500,126000,128300,363792,46874587550
20251117,129000,130700,126500,130300,227192,29299280800
20251118,130400,131400,125300,126800,295529,37595205050
20251119,127600,128500,122300,125600,249937,31203383650
20251120,126700,127500,125100,126300,163035,20580954550
20251121,122900,126800,122100,126500,184739,23171331500
20251124,130300,132900,126600,128300,479252,61967083250
20251125,129100,133500,128000,129000,324435,42338595650
20251126,132000,142000,131400,140700,886714,123333720550
20251127,142000,143700,137000,139100,433351,60630580900
20251128,143700,144100,137700,139800,490024,68803551400
20251201,140100,140200,134800,137900,285288,39168377100
20251202,137100,137200,133300,134500,253661,34092057200
20251203,135400,135800,134000,135500,133393,18017709450
20251204,135100,136500,133600,136300,170903,23054781050
20251205,137900,137900,131100,134000,266239,35540453500
20251208,133100,134400,132000,133300,144648,19308123050
20251209,134500,136300,133200,135100,238970,32229609800
20251210,135100,136800,134000,136100,151433,20513779500
20251211,137400,139100,135300,135700,260187,35614331850
20251212,136100,136300,131000,133200,306780,40682988300
20251215,131800,135600,131500,134700,198857,26711442850
20251216,136000,136000,131900,132200,119448,15896432100
20251217,132400,132500,129200,131000,147320,19208707700
20251218,129200,130200,127300,129000,138592,17866771250
20251219,129600,130600,127500,128900,190206,24531915400
20251222,131000,131700,127900,129000,154461,19908235750
20251223,129700,129900,128100,128500,100336,12926546700
20251224,129300,129300,126400,127000,135568,17253902600
