date,open,high,low,close,volume,turnover
20251010,110400,112900,108000,110400,144746,15974299750
20251013,107900,118600,105600,116700,170007,19210521300
20251014,119200,120500,110500,113000,160727,18566622050
20251015,114000,115700,110900,115700,80637,9151274200
20251016,113900,118000,112200,117000,64575,7496865500
20251017,114200,117900,111200,112100,73522,8416389500
20251020,117400,128500,117000,122700,217188,26737095650
20251021,124000,124900,117000,117500,95960,11532315150
20251022,118100,118400,113000,117300,81634,9458876200
20251023,114300,118300,113200,116200,68561,7956190500
20251024,119200,120600,116900,117900,85082,10087380850
20251027,118800,118800,114300,116800,151778,17561294100
20251028,115500,116700,112500,113400,83198,9516694350
20251029,114600,116000,111500,114900,96911,11012105650
20251030,114500,114900,110600,113300,88420,9983996550
20251031,112300,113400,108700,110700,137776,15265066150
20251103,109100,110500,105900,109200,212885,22910890700
20251104,114500,120500,112900,116800,171286,20040209350
20251105,112800,114500,103900,109000,121574,13059165800
20251106,113200,113400,106000,109800,76499,8377006750
20251107,108800,110700,103000,105300,143375,15096367650
20251110,106500,107100,102600,106000,68658,7206823300
20251111,107900,115000,107000,111500,152629,17044822650
20251112,110700,110700,106900,108400,85294,9243598800
20251113,108400,111000,107500,107800,63904,6934605750
20251114,104900,104900,93100,95100,240821,23565363650
20251117,98100,98800,94100,95400,143780,13800897900
20251118,92700,93800,87600,89000,249457,22304904050
20251119,89000,91400,86200,88600,108493,9650503050
20251120,94800,94800,88300,88400,113441,10161268650
20251121,83500,85400,82000,82400,121899,10073975550
20251124,84100,84100,80200,81100,286316,23302442150
20251125,85000,85300,79900,80900,101096,8239306750
20251126,85200,87900,83500,87700,172139,14835562000
20251127,89100,89500,85500,86200,114999,9966352300
20251128,87400,88100,84600,86700,91245,7838744750
20251201,89200,91300,86000,89000,181616,16131224100
20251202,90700,90700,87400,88800,92646,8242224900
20251203,91300,91400,88400,89600,81264,7267243000
20251204,88700,88900,84500,85500,153792,13169435750
20251205,86200,86800,83000,86500,116393,9848887000
20251208,88000,90000,87400,89800,109618,9720262700
20251209,89300,90100,87300,88000,82441,7287655850
20251210,88400,90100,86200,86300,59779,5247104650
20251211,87100,87200,84000,84700,110028,9333654800
20251212,84800,85800,83700,85800,70161,5962336168
20251215,83100,85000,81900,84100,72764,6093018500
20251216,83600,83800,81700,81900,78088,6436148900
20251217,82100,84900,81400,84300,81763,6842921000
20251218,82500,83400,81200,82400,54905,4503036850
20251219,84000,85000,82400,84000,57582,4840658900
20251222,85800,89500,85800,89500,117408,10374276450
20251223,89500,89600,84700,86800,118124,10218339850
20251224,87200,87800,85600,86100,61078,5324342200
20251226,86800,88000,85900,87300,101710,8859674250
20251229,89500,89600,86000,87300,220414,18682744900
20251230,86500,89800,86100,88400,81535,7196092500
20260102,88000,95100,86000,94800,178678,16459943250
20260105,97600,97600,93300,95900,200698,19110407850
20260106,97000,102700,95100,102600,273575,27190530200
20260107,103700,103800,96400,97900,193894,19284534100
20260108,97000,102500,96600,97100,138907,13768891000
20260109,96100,98300,93200,95300,166140,15834693300
20260112,97100,97200,92400,93800,104181,9848584500
20260113,94600,95800,90700,92600,107273,9892589700
20260114,92300,95300,91400,94600,69676,6518797450
20260115,94600,98100,92000,96100,92561,8785394900
20260116,100400,104000,97000,99000,229315,22994321450
20260119,98000,101300,95200,99600,120091,11816698000
20260120,99300,99300,93300,95100,115018,10973437400
20260121,92700,99400,91600,98400,153038,14784636300
20260122,100300,100300,94900,97800,141828,13904177200
20260123,97800,100500,95900,99500,155304,15314913450
20260126,100000,108000,99900,106800,281024,29506042800
20260127,106000,114300,104500,113500,250306,27497475400
20260128,115700,127000,112500,126000,308482,36670446350
20260129,128000,129800,113000,121000,361274,43523442450
20260130,121100,132500,119900,126700,294012,37528246600
20260202,119400,125000,113000,113200,244430,28726498500
20260203,118000,118200,112700,116300,187323,21522983050
20260204,114000,119300,112900,115600,145149,16956962200
20260205,112000,117000,108500,110400,207288,23050818200
20260206,105100,111700,103000,108500,142468,15254734500
20260209,114600,115550,111200,114100,94138,10710847900
20260210,113500,114400,107000,107600,122991,13343245900
20260211,106800,109000,104700,105700,125303,13304314400
20260212,109300,110200,106700,107800,133608,14472096200
20260213,105600,107700,105000,106300,63959,6793274900
20260219,109200,114300,107500,114200,132436,14857571750
20260220,113300,114100,111100,111900,56893,6367906600
20260223,114200,114200,108000,109300,90459,10007705500
20260224,108300,116700,107200,113800,103611,11828101200
20260225,116100,116100,109500,111000,92807,10431577000
20260226,114300,114500,110800,113500,151859,17085088350
20260227,110100,114300,108300,111200,110480,12280724800
20260303,109500,116700,103200,104100,134271,14801420050
20260304,101000,104000,89000,89500,214498,20401809450
20260305,97500,108700,95400,102700,175328,18251809400
20260306,102900,108800,99800,108500,124198,13188407350
20260309,100000,102100,94700,97000,130148,12675591450
20260310,104700,110000,101100,108000,220802,23422370450
20260311,110000,115500,106300,108800,173890,19204888850
20260312,107700,115300,107700,113900,146527,16521973900
20260313,108100,111700,108100,110200,76005,8347653300
20260316,109000,115000,108400,111500,78344,8742939450
20260317,114400,122300,112400,117000,229711,27177048000
20260318,118100,120900,117100,120000,132673,15832699500
20260319,115000,120000,113800,118900,112680,13152877500
20260320,123500,123600,116000,120300,105313,12609670600
20260323,113200,116500,111400,111800,83382,9447046100
20260324,115200,117400,110200,115000,86911,9848328850
20260325,115600,120500,115100,116000,93070,11002388000
20260326,113700,114300,109500,110000,103638,11536276350
20260327,105000,109900,104200,107500,75288,8021389300
20260330,102200,106000,98000,102600,91262,9367997100
20260331,100200,115000,100200,107300,209792,22938566100
20260401,112900,120400,112600,118500,119723,14052161050
20260402,122400,124700,116100,118100,195700,23553056000
20260403,119200,121800,112000,113800,92305,10602138600
20260406,113800,115900,110100,110900,33888,3799038900
20260407,115600,117000,107700,110400,65791,7280355800
20260408,116800,120500,111200,118600,139261,16237506500
20260409,116200,129700,116200,125000,213743,27092397850
20260410,127100,138600,125000,134100,259372,34893913000
20260413,131100,137400,129700,133400,87503,11801076000
20260414,135100,141500,131800,132500,148564,20048312500
20260415,133800,134300,128100,131900,147124,19319394150
20260416,135700,155000,132200,151000,329292,47816552050
20260417,150800,159900,146000,154900,165795,25700043250
20260420,154100,155000,151100,152900,64290,9850400600
20260421,161500,162200,151700,152500,121235,18748115400
20260422,151500,151900,146300,151500,112758,16832086050
20260423,152000,153400,146300,149500,105426,15707268550
20260424,155800,157000,147600,149800,85727,12917713750
20260427,152500,153300,147100,149200,78714,11706463750
20260428,148000,151100,143900,148200,118434,17555922550
20260429,147000,149000,140900,142400,142154,20296316650
20260430,144100,147400,141000,141600,88848,12771761950
20260504,145600,148300,140500,144200,107673,15539487450
20260506,158900,159000,143900,147400,171335,25590310500
20260507,150600,150600,141800,145700,71063,10353657250
20260508,142100,153900,140900,149500,102681,15202543700
20260511,152500,153500,146500,148400,115789,17284018500
20260512,148500,155600,140000,143900,282268,41358881700
20260513,153000,187000,146000,187000,574218,97928654850
20260514,186400,191600,177200,179000,273582,50200354850
20260515,179000,179200,153700,156100,231932,37789610100
20260518,150000,156300,140000,150900,142980,21257579600
20260519,147000,152800,142900,145000,124328,18150453600
