월별,기간,전체,반도체,철강제품,승용차,석유제품,무선통신기기,선박,자동차부품,컴퓨터주변기기,정밀기기,가전제품
202205,01~20,38645593,6607586,3216328,2223613,4541567,1039777,1189502,1258155,976701,707851,700474
202205,01~31,61591326,11716680,5144964,3908749,6560055,1492113,1924034,1894156,1800048,1082068,1065338
202206,01~10,15083505,3165137,1213786,623559,1920452,495399,388233,494981,286224,271072,214921
202206,01~20,31251473,6356781,2574703,1600389,3673718,984612,704234,1032905,559901,572428,462233
202206,01~30,57679934,12584790,4794575,3726499,5613644,1658342,1210207,1837424,1694572,995090,783308
202207,01~10,15568067,2891700,1180478,1157183,1991588,609376,379583,509770,207073,256298,196327
202207,01~20,36845479,6657292,2870562,2684688,4440259,1145973,1117396,1274750,515256,634493,458347
202207,01~31,60241774,11486116,4687672,4907226,6428872,1687164,2476499,1977865,1203497,1008347,709011
202208,01~10,15608383,2990284,1245951,420925,2213856,563974,76083,399339,238223,314139,255219
202208,01~20,33355057,6271259,2725596,1763247,4252366,1073360,668009,1028350,510464,674654,452180
202208,01~31,56605950,11067131,4577755,3954946,6671348,1601817,1134136,1747597,1257613,1103321,750592
202209,01~10,16130192,3481612,1026160,1062287,1616585,615336,142659,608979,311354,352036,175381
202209,01~20,32755635,6898313,2100043,2189756,3329216,1216095,667477,1116733,624220,704912,389021
202209,01~30,57176300,11772503,3964009,4574495,5292847,1918478,1158512,1955883,1507736,1233422,640647
202210,01~10,11784731,2226543,795605,944714,1049593,595140,508150,380814,159490,289542,142319
202210,01~20,32352884,5572560,2388769,2647824,3121861,1287675,990900,1155271,426782,710984,386425
202210,01~31,52428092,9515297,4014704,4716609,4500682,1971231,1343085,1793371,1008583,1128689,565207
202211,01~10,17673191,2760437,1272157,1456382,1964244,700334,384302,673774,282976,355502,197671
202211,01~20,33073391,5284029,2467521,3131728,3041060,1365563,895494,1184300,485965,647964,342231
202211,01~30,51771855,8743404,4189712,5160253,4854931,1940223,1059596,1788629,951549,999407,497155
