월별,기간,전체,반도체,철강제품,승용차,석유제품,무선통신기기,선박,자동차부품,컴퓨터주변기기,정밀기기,가전제품
201801,01~10,13682888,2916282,1009815,306697,1120408,482501,825381,481146,220032,282442,171013
201801,01~20,30049491,6014651,2200880,1366660,2394477,1025048,1765240,1104897,453214,580108,381645
201801,01~31,49221291,9926733,3921498,3059427,3697613,1516404,2414473,1755364,819620,910230,611139
201802,01~10,14718264,2815160,1107779,859118,1211266,402363,827771,588903,240898,251036,188332
201802,01~20,26420095,5375776,2146462,1350755,2344344,620607,1184619,985515,416202,420177,375781
201802,01~28,44523530,9195027,3697598,2630241,3356720,1093424,2405854,1629334,803969,722005,562948
201803,01~10,13541635,2800998,950124,699317,1069638,542800,604434,520053,216321,259372,160294
201803,01~20,29476530,5838981,2194413,1769297,1936089,1039691,1618920,1094442,483213,525895,425469
201803,01~31,51309932,11045625,3977208,3529774,3095395,1477315,1955517,1869220,978990,889445,671654
201804,01~10,13814690,2611222,1056467,731567,1015946,384770,649293,574693,186566,235359,202602
201804,01~20,32566012,6194580,2548043,1931752,2373367,851073,1301439,1370130,520287,576242,453733
201804,01~30,49850235,9941528,4123217,3324748,3995324,1160063,1709321,1955866,776331,912401,630839
201805,01~10,13930367,2983514,1182493,701611,975526,427725,89013,663265,240566,261117,186457
201805,01~20,29116483,6091663,2318187,1657139,2215553,866361,577017,1226763,540539,501739,380367
201805,01~31,50687750,10997661,4189803,3268920,3982286,1511657,773824,2041462,850566,872656,646666
201806,01~10,12334956,2694356,882703,655562,1028149,450259,66411,508068,228502,226030,115846
201806,01~20,30243887,6246700,2291581,1708073,2477210,904612,756707,1195837,573979,571390,331832
201806,01~30,51079375,11321533,4004036,3219928,4126590,1400797,1271051,1913734,1064582,960489,538150
201807,01~10,13917063,2873528,1129451,687716,1220447,467271,221323,558205,170016,258184,168117
201807,01~20,32757062,6424137,2754422,1782707,2629725,1053955,1163626,1306186,480093,557258,374690
201807,01~31,51810255,10622705,4756506,2934066,3973162,1459739,1590482,1947068,819184,881877,581648
201808,01~10,14802110,3556668,1069896,331488,1598670,488195,9910,448557,234912,324406,153482
201808,01~20,28785487,6755741,2336616,1088588,2863453,875669,402602,910184,449857,606371,311855
201808,01~31,51180449,11820645,4314235,2630553,4303110,1431373,617569,1791212,868191,1102808,568515
201809,01~10,13997269,3450432,944026,677566,1290159,399055,174698,517315,231555,316795,176577
201809,01~20,36519939,8205860,2582959,1876999,2897585,968802,1076299,1404483,567229,811818,470547
201809,01~30,50650208,12694128,3681585,2763577,4299997,1272605,1356806,1681150,893758,1043625,595365
201810,01~10,14356256,2837005,978719,797856,1251514,521959,302729,632717,167182,366346,200323
201810,01~20,33335175,6469703,2277269,2104784,3102654,1045816,1155110,1340503,353172,770189,404630
201810,01~31,54860310,11874119,3989610,3666651,4600992,1727279,1436237,2055564,732997,1227835,645948
201811,01~10,15011001,2973535,988342,1001180,1181323,713108,585168,624978,177031,343914,186095
201811,01~20,31200636,6071637,2106108,2084781,2455302,1364561,1696788,1162254,420232,660442,398293
201811,01~30,51479530,10974481,3807459,3697749,3976879,1991663,2000901,1877575,714720,1034978,617945
201812,01~10,11941663,2469996,878625,778585,1078471,526977,24971,447950,185984,290725,180301
201812,01~20,31060666,5495689,2140332,2133789,2300850,1304850,1838387,1163768,444164,671140,447133
201812,01~31,48206793,9108586,3597869,3522414,3543209,1699461,3177851,1728826,681649,966371,614675
201901,01~10,12636635,2119744,994225,697648,839889,585447,577799,576753,206025,284892,199679
201901,01~20,25704243,4283922,2038095,1763740,1876394,1096943,1048468,1104037,392286,518240,408464
201901,01~31,46168934,7679253,3932243,3429000,3647294,1693378,1735818,1982501,640964,874538,741358
201902,01~10,6315804,1415212,519999,286521,610387,334673,87026,210701,89228,116217,92875
201902,01~20,23344607,3913637,1888392,1331753,1850375,956780,1104472,882426,349215,429951,406653
201902,01~28,39481803,6989661,3539508,2693787,3023824,1403921,1287317,1581202,582232,729051,658975
201903,01~10,10940309,1967268,810113,735724,665999,520807,546715,444491,151922,216802,171880
201903,01~20,27918416,4376935,2102300,1938118,1733272,995782,1980285,1150534,394227,543050,459571
201903,01~31,47003206,9253635,3766481,3418177,3066322,1532257,2061369,1855079,660947,935578,769806
201904,01~10,15011948,2095838,1099638,879560,1239677,631831,1131807,646076,168188,291372,263548
201904,01~20,29723614,4663188,2241061,2009914,2438299,1186954,1302077,1313780,348727,587318,533860
201904,01~30,48781156,8674532,3785130,3524478,3930909,1698752,2680616,1951969,544105,887905,785359
201905,01~10,12881459,2033022,1032727,836947,1073867,501190,217417,588071,197069,275772,225907
201905,01~20,25497936,4077324,1980916,1865682,2076792,908538,701900,1081219,389490,545594,487804
201905,01~31,45703948,7788508,3895318,3695183,3568497,1487453,1130382,1872118,647351,961647,802018
201906,01~10,10215689,1864831,841745,650388,784212,423546,179141,408714,163973,237199,194677
201906,01~20,27078707,4728841,2206603,2040727,1857571,999454,911962,1129830,413587,585716,548801
201906,01~30,44008404,8509573,3626858,3532141,3060435,1507277,1888921,1653017,635527,891367,805683
201907,01~10,13505147,2102733,1060211,853907,1212927,540844,183266,621810,189925,303244,259783
201907,01~20,28230370,4485921,2192511,2126707,2224994,1114647,873486,1260042,405698,597233,502954
201907,01~31,46078221,7692400,3830585,3592648,3590419,1717063,1452668,1955456,664712,934216,793394
201908,01~10,11414397,2339245,835519,311293,1141270,690757,313123,411020,168126,302658,192616
201908,01~20,24797946,4736027,1838313,1175925,2181654,1378293,1121747,895345,335734,614570,428303
201908,01~31,44020065,8190041,3571175,2777454,3612570,2160921,1760365,1697946,658994,1035132,705364
201909,01~10,15004914,2301629,1052867,817529,1272501,819802,911948,684105,187851,364308,265201
201909,01~20,28540067,4939170,2135806,1565038,2361977,1528828,1522511,1178476,422907,659311,489513
201909,01~30,44629053,8675503,3407431,2898680,3571166,2307153,1758719,1706165,737206,975709,688772
201910,01~10,13071445,2066177,978755,924992,991648,797365,230574,630728,181882,288399,238831
201910,01~20,26738387,4605313,1933026,1968844,1881901,1514010,1059637,1130114,434583,580823,450804
201910,01~31,46648756,8067974,3589527,3594199,3380328,2335933,1761556,1914345,880420,995435,720749
201911,01~10,11720034,1978283,861212,963359,850761,672841,208607,475726,239105,276314,176254
201911,01~20,28152456,4636690,2056350,2233578,2343672,1337836,590961,1094360,567760,599402,432633
201911,01~30,44040722,7584210,3440329,3710585,3493056,1899463,742466,1701482,901474,947632,644589
201912,01~10,12853793,1892971,958505,863652,985813,621758,298163,545677,243474,294614,187980
201912,01~20,30430219,4577022,2346802,2191792,2339875,1344284,897617,1230541,605922,719229,441213
201912,01~31,45668341,7482531,3732016,3588385,3354128,1826730,1280922,1793819,927958,1018164,616059
202001,01~10,13247930,2362644,922964,665603,1069551,557307,579210,519752,235102,302740,169677
202001,01~20,25532422,4656380,1932256,1640219,2150858,1028357,607326,1017949,491412,565963,359958
202001,01~31,43103061,7387405,3381364,2672693,3418842,1461850,2796385,1682918,880893,851669,541834
202002,01~10,10614006,1945946,862987,614395,715008,450388,207660,453712,225504,232916,169928
202002,01~20,26068110,4510441,2179954,1327845,1655460,1033840,808780,1241450,622367,534249,393670
202002,01~29,40911819,7599827,3389532,2276355,2768142,1500072,1389063,1744851,1050303,842563,540950
202003,01~10,13015395,2391102,1002666,820909,662173,610461,201508,595283,271526,323303,212827
202003,01~20,30115412,5260442,2329149,2201676,1499008,1262224,997865,1353862,636362,680400,483019
202003,01~31,46167204,8971711,3649043,3662003,2348471,1763647,1394685,1870487,1118714,991222,689925
202004,01~10,12048450,2063320,927196,817095,539322,485119,129604,440071,263749,296065,138259
202004,01~20,21308338,3968307,1674257,1436877,963162,821896,236162,659184,525380,495234,231982
202004,01~30,36270183,7377824,2960105,2268579,1515184,1218726,1011566,984872,987095,788138,383132
202005,01~10,6886388,1662651,429107,164280,284296,321270,337258,106601,191987,156979,66845
202005,01~20,20303243,4621117,1449981,769822,717907,805943,924868,361387,527217,448385,287304
202005,01~31,34854511,8293538,2585971,1730321,1189730,1259813,1546250,627494,1111976,710590,487614
202006,01~10,12258491,2285279,829227,409241,558484,575325,776477,283023,289210,287755,247804
202006,01~20,24978418,4852743,1756668,1290717,1154026,1108186,1189419,576924,663772,574261,467041
202006,01~30,39214071,8490845,2938680,2374807,1682787,1499118,1337308,911290,1164664,859299,669373
