date,symbol,name,close,volume,turnover,pct_change,vol_ratio_20,knee_score,knee_grade,knee_reasons,knee_confirmed,shoulder_score,shoulder_grade,shoulder_reasons,shoulder_confirmed,analysis_date,run_at
20260518,001430,세아베스틸지주,75500,518035,37040045250,7.7,1.65,75,Watch,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복,1,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,011200,HMM,19960,1714572,33966924540,0.35,1.31,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,012450,한화에어로스페이스,1227000,174679,214441517440,0.9,0.81,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,030520,한글과컴퓨터,19520,142964,2747475090,0.93,1.01,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,039030,이오테크닉스,485000,133226,62523739750,9.73,1.26,55,Neutral,종가 반등 | MACD 개선 | 20일선 회복,1,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,081660,미스토홀딩스,40900,217263,8772488750,4.34,1.24,55,Neutral,종가 반등 | MACD 개선 | 20일선 회복,1,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,138040,메리츠금융지주,106300,295230,31194910500,0.47,1.1,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,175330,JB금융지주,25250,681396,16996738925,1.2,1.31,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,001450,현대해상,38350,3513269,132256668375,14.99,5.32,50,Neutral,종가 반등 | MACD 개선 | 거래량 증가,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,036930,주성엔지니어링,182200,4398397,747120919850,29.96,1.54,50,Neutral,종가 반등 | MACD 개선 | 거래량 증가,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,088350,한화생명,5670,19416113,108079688405,5.19,2.01,50,Neutral,종가 반등 | MACD 개선 | 거래량 증가,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,079550,LIG넥스원,839000,238726,201010692000,0.6,0.67,45,Neutral,최근 20일 저점권 | 종가 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,047810,한국항공우주,161700,624168,100006083850,0.37,0.75,40,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,066970,엘앤에프,160500,496363,78234888100,0.19,0.62,40,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,240810,원익IPS,116100,399047,45399023450,1.22,0.58,40,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,272210,한화시스템,106100,822949,85421582600,1.73,0.9,40,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,403870,HPSP,52200,3246854,170159546500,5.45,1.04,40,Neutral,종가 반등 | 20일선 회복,1,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,489790,한화비전,71300,501625,35401296350,0.99,0.51,40,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,001040,CJ,170300,839526,148618385750,-21.52,5.42,35,Neutral,최근 20일 저점권 | 거래량 증가,0,40,Neutral,종가 약세 | MACD 둔화 | 거래량 이상 | 20일선 이탈,1,20260518,2026-05-18T09:50:58
20260518,006260,LS,528000,523497,268476845500,11.75,1.94,35,Neutral,종가 반등 | 거래량 증가,0,40,Neutral,최근 20일 고점권 | MACD 둔화 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,004990,롯데지주,26800,477424,12806673450,-5.63,1.54,35,Neutral,최근 20일 저점권 | 거래량 증가,0,35,Neutral,종가 약세 | MACD 둔화 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,056190,에스에프에이,26850,209143,5562523925,-6.61,1.53,35,Neutral,최근 20일 저점권 | 거래량 증가,0,35,Neutral,종가 약세 | MACD 둔화 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,141080,리가켐바이오,162000,820607,133783436400,-15.36,1.96,35,Neutral,최근 20일 저점권 | 거래량 증가,0,35,Neutral,종가 약세 | MACD 둔화 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,454910,두산로보틱스,117900,3025824,360884370850,-7.46,2.01,35,Neutral,MACD 개선 | 거래량 증가,0,35,Neutral,종가 약세 | RSI 약화 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,005250,녹십자홀딩스,15470,751233,11636069895,3.13,1.76,35,Neutral,종가 반등 | 거래량 증가,0,20,Neutral,MACD 둔화 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,030000,제일기획,19240,342718,6589232095,-1.79,0.75,30,Neutral,최근 20일 저점권 | MACD 개선,0,20,Neutral,종가 약세 | 20일선 이탈,1,20260518,2026-05-18T09:50:58
20260518,192080,더블유게임즈,60400,136101,8221205200,2.2,1.08,30,Neutral,종가 반등 | MACD 개선,0,20,Neutral,최근 20일 고점권,0,20260518,2026-05-18T09:50:58
20260518,022100,포스코DX,33800,798638,27298867825,0.3,1.18,30,Neutral,최근 20일 저점권 | 종가 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,026960,동서,24850,100737,2521310525,-1.97,1.02,30,Neutral,최근 20일 저점권 | MACD 개선,0,15,Neutral,종가 약세,0,20260518,2026-05-18T09:50:58
20260518,035250,강원랜드,15950,698199,11146676100,-2.15,0.99,30,Neutral,최근 20일 저점권 | MACD 개선,0,15,Neutral,종가 약세,0,20260518,2026-05-18T09:50:58
20260518,073240,금호타이어,4960,635809,3152216476,-1.98,0.68,30,Neutral,최근 20일 저점권 | MACD 개선,0,15,Neutral,종가 약세,0,20260518,2026-05-18T09:50:58
20260518,074600,원익QnC,36150,386743,13646349425,1.97,0.88,30,Neutral,최근 20일 저점권 | 종가 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,091700,파트론,7220,278528,1974240565,-0.14,0.87,30,Neutral,최근 20일 저점권 | MACD 개선,0,15,Neutral,종가 약세,0,20260518,2026-05-18T09:50:58
20260518,093370,후성,12080,1406468,16519455230,2.2,0.32,30,Neutral,최근 20일 저점권 | 종가 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,112610,씨에스윈드,52700,302575,15652484400,-0.19,0.59,30,Neutral,최근 20일 저점권 | MACD 개선,0,15,Neutral,종가 약세,0,20260518,2026-05-18T09:50:58
20260518,138930,BNK금융지주,17260,1249232,21464509860,-0.35,1.04,30,Neutral,최근 20일 저점권 | MACD 개선,0,15,Neutral,종가 약세,0,20260518,2026-05-18T09:50:58
20260518,251270,넷마블,42350,158466,6728125825,-1.97,0.58,30,Neutral,최근 20일 저점권 | MACD 개선,0,15,Neutral,종가 약세,0,20260518,2026-05-18T09:50:58
20260518,323410,카카오뱅크,22300,917876,20415240275,-0.67,0.98,30,Neutral,최근 20일 저점권 | MACD 개선,0,15,Neutral,종가 약세,0,20260518,2026-05-18T09:50:58
20260518,005290,동진쎄미켐,56100,740035,40150290550,6.05,0.79,30,Neutral,종가 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,009830,한화솔루션,43350,2735039,113773906900,6.77,0.6,30,Neutral,종가 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,393890,더블유씨피,16110,897766,14249634135,8.19,0.59,30,Neutral,종가 반등 | MACD 개선,0,0,Neutral,,0,20260518,2026-05-18T09:50:58
20260518,034020,두산에너빌리티,112100,4669776,509207203800,1.17,1.0,25,Neutral,종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,272290,이녹스첨단소재,31950,320890,10144073775,4.41,0.78,25,Neutral,종가 반등 | RSI 반등,0,15,Neutral,MACD 둔화,0,20260518,2026-05-18T09:50:58
20260518,003550,LG,115400,1001762,119118752250,-8.41,2.06,20,Neutral,거래량 증가,0,50,Neutral,종가 약세 | RSI 약화 | MACD 둔화 | 거래량 이상,0,20260518,2026-05-18T09:50:58
20260518,042700,한미반도체,317000,2398380,757437964250,-14.09,1.75,20,Neutral,거래량 증가,0,40,Neutral,종가 약세 | MACD 둔화 | 거래량 이상 | 20일선 이탈,1,20260518,2026-05-18T09:50:58
