date,symbol,name,close,volume,turnover,pct_change,vol_ratio_20,knee_score,knee_grade,knee_reasons,knee_confirmed,shoulder_score,shoulder_grade,shoulder_reasons,shoulder_confirmed,analysis_date,run_at
20260511,096530,씨젠,28250,1761225,49206438450,15.78,4.3,75,Watch,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복,1,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260511,2026-05-11T09:49:07
20260511,000210,DL,67000,273597,18183676300,4.69,1.66,75,Watch,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복,1,5,Neutral,거래량 이상,0,20260511,2026-05-11T09:49:07
20260511,042660,한화오션,130500,3244572,428998296600,3.49,2.02,75,Watch,종가 반등 | MACD 개선 | 거래량 증가 | 20일선 회복,1,5,Neutral,거래량 이상,0,20260511,2026-05-11T09:49:07
20260511,017670,SK텔레콤,98200,1045624,102280972195,5.03,1.09,55,Neutral,종가 반등 | MACD 개선 | 20일선 회복,1,20,Neutral,최근 20일 고점권,0,20260511,2026-05-11T09:49:07
20260511,039030,이오테크닉스,501000,124910,59818668250,4.7,1.27,55,Neutral,종가 반등 | MACD 개선 | 20일선 회복,1,20,Neutral,최근 20일 고점권,0,20260511,2026-05-11T09:49:07
20260511,032640,LG유플러스,15320,1182400,18137396755,1.79,1.2,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260511,2026-05-11T09:49:07
20260511,047810,한국항공우주,169500,533774,90985383750,1.62,0.68,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260511,2026-05-11T09:49:07
20260511,058470,리노공업,115800,937634,106380458800,2.84,0.85,55,Neutral,종가 반등 | MACD 개선 | 20일선 회복,1,0,Neutral,,0,20260511,2026-05-11T09:49:07
20260511,175330,JB금융지주,26100,501740,13154496300,0.19,1.16,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260511,2026-05-11T09:49:07
20260511,272210,한화시스템,116100,833849,97644750100,0.17,0.96,55,Neutral,최근 20일 저점권 | 종가 반등 | RSI 반등 | MACD 개선,0,0,Neutral,,0,20260511,2026-05-11T09:49:07
20260511,000270,기아,174700,2981237,518555475550,6.2,2.26,50,Neutral,종가 반등 | MACD 개선 | 거래량 증가,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260511,2026-05-11T09:49:07
20260511,000660,SK하이닉스,1880000,7433039,14004335299500,11.51,1.81,50,Neutral,종가 반등 | MACD 개선 | 거래량 증가,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260511,2026-05-11T09:49:07
20260511,005380,현대차,646000,2569392,1624698473000,5.38,1.84,50,Neutral,종가 반등 | MACD 개선 | 거래량 증가,0,25,Neutral,최근 20일 고점권 | 거래량 이상,0,20260511,2026-05-11T09:49:07
